Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2657871183,TMoney890,0,172.45,P Tyler Glasnow P Alex Wood OF Trent Grisham OF Giancarlo Stanton SS Gleyber Torres OF Kyle Tucker 2B Jurickson Profar C Victor Caratini 3B Gio Urshela 1B Mike Ford,,Alex Wood,P,70.00%,27.9
2,2657336975,bigtimer85,0,120.55,P Alex Wood P Ryan Weathers SS Fernando Tatis Jr. OF Giancarlo Stanton 2B Eduardo Escobar 1B Eric Hosmer OF Jared Walsh C Mike Zunino 3B Gio Urshela OF Manuel Margot,,Fernando Tatis Jr.,SS,50.00%,14
3,2657514049,ajeng,0,104.2,P Tyler Glasnow P Ryan Weathers SS Fernando Tatis Jr. OF Trent Grisham 3B Manny Machado 1B Eric Hosmer 2B Jurickson Profar C Kyle Higashioka OF Aaron Hicks OF Manuel Margot,,Ronald Acu?a Jr.,OF,40.00%,7
4,2657651896,damien.g03,0,101.7,P Alex Wood P Germ?n M?rquez 1B Freddie Freeman SS Trevor Story OF Giancarlo Stanton 3B Nolan Arenado OF Cavan Biggio 2B Mike Brosseau OF Kyle Lewis C Danny Jansen,,Cavan Biggio,OF,40.00%,0
5,2657396730,rvbraves25,0,95.55,P Alex Wood P Ryan Weathers SS Fernando Tatis Jr. 2B Nick Solak 1B Eric Hosmer OF Cavan Biggio OF Jared Walsh C Kyle Higashioka 3B Gio Urshela OF Manuel Margot,,Eric Hosmer,1B,40.00%,2
6,2657839591,RichOilSheik,0,91.5,P Zack Greinke P Cole Irvin 1B Yuli Gurriel 2B Tommy Edman OF Shohei Ohtani 3B Cavan Biggio SS Gleyber Torres OF Andrew McCutchen OF Mark Canha C Mike Zunino,,Kyle Higashioka,C,40.00%,0
7,2657246539,alexortega3032,0,91.45,P Tyler Glasnow P Alex Wood OF Ronald Acu?a Jr. C Carson Kelly OF Cavan Biggio 3B Mike Brosseau 1B Yandy D?az SS Brandon Crawford 2B David Fletcher OF Kevin Kiermaier,,Tyler Glasnow,P,30.00%,35.55
8,2657877344,xxxStrat9xxx,0,90.9,P Carlos Rod?n P Alex Wood OF Ronald Acu?a Jr. SS Fernando Tatis Jr. 3B Kris Bryant OF Adolis Garc?a C Kyle Higashioka OF Guillermo Heredia 2B Nico Hoerner 1B Mike Ford,,Ryan Weathers,P,30.00%,1.65
9,2657543853,blak2oof,0,86.1,P Domingo Germ?n P Dean Kremer OF Mike Trout OF Ronald Acu?a Jr. 1B Vladimir Guerrero Jr. SS Fernando Tatis Jr. OF Shohei Ohtani 3B Starlin Castro 2B Jurickson Profar C Danny Jansen,,Giancarlo Stanton,OF,30.00%,13
10,2657425350,captncrypto941,0,81.7,P Alex Wood P Germ?n M?rquez OF Ronald Acu?a Jr. 2B Nick Solak 1B Eric Hosmer SS Gleyber Torres 3B Kyle Seager C Kyle Higashioka OF Austin Hays OF Brett Phillips,,Gio Urshela,3B,30.00%,21
,,,,,,,Manuel Margot,OF,30.00%,10
,,,,,,,Gleyber Torres,SS,30.00%,12
,,,,,,,Jurickson Profar,2B,30.00%,17
,,,,,,,Mike Brosseau,3B,20.00%,0
,,,,,,,Jared Walsh,OF,20.00%,7
,,,,,,,Mike Zunino,C,20.00%,17
,,,,,,,Nick Solak,2B,20.00%,12
,,,,,,,Germ?n M?rquez,P,20.00%,6.8
,,,,,,,Trent Grisham,OF,20.00%,5
,,,,,,,Shohei Ohtani,OF,20.00%,5
,,,,,,,Danny Jansen,C,20.00%,2
,,,,,,,Mike Ford,1B,20.00%,16
,,,,,,,Carson Kelly,C,10.00%,4
,,,,,,,Yandy D?az,1B,10.00%,6
,,,,,,,Brandon Crawford,SS,10.00%,4
,,,,,,,David Fletcher,2B,10.00%,5
,,,,,,,Kevin Kiermaier,OF,10.00%,2
,,,,,,,Eduardo Escobar,2B,10.00%,7
,,,,,,,Kyle Seager,3B,10.00%,5
,,,,,,,Austin Hays,OF,10.00%,0
,,,,,,,Brett Phillips,OF,10.00%,9
,,,,,,,Manny Machado,3B,10.00%,17
,,,,,,,Aaron Hicks,OF,10.00%,2
,,,,,,,Domingo Germ?n,P,10.00%,29.35
,,,,,,,Dean Kremer,P,10.00%,-0.25
,,,,,,,Mike Trout,OF,10.00%,5
,,,,,,,Vladimir Guerrero Jr.,1B,10.00%,2
,,,,,,,Starlin Castro,3B,10.00%,5
,,,,,,,Freddie Freeman,1B,10.00%,31
,,,,,,,Trevor Story,SS,10.00%,4
,,,,,,,Nolan Arenado,3B,10.00%,3
,,,,,,,Kyle Lewis,OF,10.00%,14
,,,,,,,Zack Greinke,P,10.00%,6.8
,,,,,,,Cole Irvin,P,10.00%,20.7
,,,,,,,Yuli Gurriel,1B,10.00%,12
,,,,,,,Tommy Edman,2B,10.00%,6
,,,,,,,Andrew McCutchen,OF,10.00%,7
,,,,,,,Mark Canha,OF,10.00%,5
,,,,,,,Kyle Tucker,OF,10.00%,14
,,,,,,,Victor Caratini,C,10.00%,11
,,,,,,,Carlos Rod?n,P,10.00%,0
,,,,,,,Kris Bryant,3B,10.00%,6
,,,,,,,Adolis Garc?a,OF,10.00%,3
,,,,,,,Guillermo Heredia,OF,10.00%,15
,,,,,,,Nico Hoerner,2B,10.00%,2
