DraftKings,BaseballMonster,BaseballReference
Shohei Ohtani,Shohei (H) Ohtani
Michael A. Taylor,Michael Taylor
Jackie Bradley Jr.,Jackie Bradley
J.T. Realmuto,JT Realmuto
Fernando Tatis Jr.,Fernando Tatis
Tommy Pham,Thomas Pham
Gio Urshela,Giovanny Urshela
JT Brubaker,J.T. Brubaker
Kwang Hyun Kim,Kwang-Hyun Kim
Vince Velasquez,Vincent Velasquez
Nate Lowe,Nathaniel Lowe
Jose Abreu,Jose Abreu,José Abreu
Andrew Young,Andy Young
Ronald Acuna Jr.,Ronald Acuna
Jazz Chisholm Jr.,Jazz Chisholm,Jazz Chisholm
Jon Berti,Jonathon Berti
Adolis Garcia,,Adolis García
