team code, game_date, game_number, mlb id,Name, batting order, confirmed, position
DET,4/18/2021,1,543257,Robbie Grossman,1,Y,LF
DET,4/18/2021,1,600869,Jeimer Candelario,2,Y,3B
DET,4/18/2021,1,650489,Willi Castro,3,Y,SS
DET,4/18/2021,1,467092,Wilson Ramos,4,Y,C
DET,4/18/2021,1,600524,Renato Nunez,5,Y,DH
DET,4/18/2021,1,605612,Harold Castro,6,Y,1B
DET,4/18/2021,1,592348,Niko Goodrum,7,Y,2B
DET,4/18/2021,1,668731,Akil Baddoo,8,Y,RF
DET,4/18/2021,1,622682,Victor Reyes,9,Y,CF
DET,4/18/2021,1,571510,Matt Boyd,SP,Y,
OAK,4/18/2021,1,592192,Mark Canha,1,Y,RF
OAK,4/18/2021,1,657656,Ramon Laureano,2,Y,CF
OAK,4/18/2021,1,476704,Jed Lowrie,3,Y,2B
OAK,4/18/2021,1,621566,Matt Olson,4,Y,1B
OAK,4/18/2021,1,656305,Matt Chapman,5,Y,3B
OAK,4/18/2021,1,669221,Sean Murphy,6,Y,C
OAK,4/18/2021,1,605244,Aramis Garcia,7,Y,DH
OAK,4/18/2021,1,462101,Elvis Andrus,8,Y,SS
OAK,4/18/2021,1,643393,Tony Kemp,9,Y,LF
OAK,4/18/2021,1,605135,Chris Bassitt,SP,Y,
HOU,4/18/2021,1,664702,Myles Straw,1,N,
HOU,4/18/2021,1,649557,Aledmys Diaz,2,N,
HOU,4/18/2021,1,488726,Michael Brantley,3,N,
HOU,4/18/2021,1,621043,Carlos Correa,4,N,
HOU,4/18/2021,1,493329,Yulieski Gurriel,5,N,
HOU,4/18/2021,1,663656,Kyle Tucker,6,N,
HOU,4/18/2021,1,647351,Abraham Toro,7,N,
HOU,4/18/2021,1,676801,Chas McCormick,8,N,
HOU,4/18/2021,1,488771,Jason Castro,9,N,
HOU,4/18/2021,1,543606,Jake Odorizzi,SP,N,
SEA,4/18/2021,1,571745,Mitch Haniger,1,Y,RF
SEA,4/18/2021,1,664034,Ty France,2,Y,DH
SEA,4/18/2021,1,572122,Kyle Seager,3,Y,3B
SEA,4/18/2021,1,592530,Jose Marmolejos,4,Y,LF
SEA,4/18/2021,1,657108,Evan White,5,Y,1B
SEA,4/18/2021,1,664238,Dylan Moore,6,Y,2B
SEA,4/18/2021,1,666211,Taylor Trammell,7,Y,CF
SEA,4/18/2021,1,608596,Tom Murphy,8,Y,C
SEA,4/18/2021,1,641487,J.P. Crawford,9,Y,SS
SEA,4/18/2021,1,676606,Nick Margevicius,SP,Y,
LAD,4/18/2021,1,621035,Chris Taylor,1,N,
LAD,4/18/2021,1,608369,Corey Seager,2,N,
LAD,4/18/2021,1,457759,Justin Turner,3,N,
LAD,4/18/2021,1,669257,Will Smith,4,N,
LAD,4/18/2021,1,572041,AJ Pollock,5,N,
LAD,4/18/2021,1,571970,Max Muncy,6,N,
LAD,4/18/2021,1,605131,Austin Barnes,7,N,
LAD,4/18/2021,1,666158,Gavin Lux,8,N,
LAD,4/18/2021,1,545333,Trevor Bauer,SP,N,
SD,4/18/2021,1,663757,Trent Grisham,1,Y,CF
SD,4/18/2021,1,630105,Jake Cronenworth,2,Y,2B
SD,4/18/2021,1,665487,Fernando Tatis,3,Y,SS
SD,4/18/2021,1,592518,Manny Machado,4,Y,3B
SD,4/18/2021,1,543333,Eric Hosmer,5,Y,1B
SD,4/18/2021,1,595777,Jurickson Profar,6,Y,RF
SD,4/18/2021,1,502054,Thomas Pham,7,Y,LF
SD,4/18/2021,1,605170,Victor Caratini,8,Y,C
SD,4/18/2021,1,605483,Blake Snell,SP,Y,
