team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
CHW,4/19/2021,1,641313,Tim Anderson,1,Y,SS
CHW,4/19/2021,1,594809,Adam Eaton,2,Y,RF
CHW,4/19/2021,1,673357,Luis Robert,3,Y,CF
CHW,4/19/2021,1,547989,Jose Abreu,4,Y,1B
CHW,4/19/2021,1,518735,Yasmani Grandal,5,Y,C
CHW,4/19/2021,1,606213,Yermin Mercedes,6,Y,DH
CHW,4/19/2021,1,571875,Jake Lamb,7,Y,3B
CHW,4/19/2021,1,544725,Leury Garcia,8,Y,LF
CHW,4/19/2021,1,663611,Nick Madrigal,9,Y,2B
CHW,4/19/2021,1,608337,Lucas Giolito,SP,Y,
BOS,4/19/2021,1,571771,Kike Hernandez,1,Y,2B
BOS,4/19/2021,1,657077,Alex Verdugo,2,Y,CF
BOS,4/19/2021,1,502110,J.D. Martinez,3,Y,DH
BOS,4/19/2021,1,646240,Rafael Devers,4,Y,3B
BOS,4/19/2021,1,543877,Christian Vazquez,5,Y,C
BOS,4/19/2021,1,503556,Marwin Gonzalez,6,Y,SS
BOS,4/19/2021,1,592669,Hunter Renfroe,7,Y,RF
BOS,4/19/2021,1,614173,Franchy Cordero,8,Y,LF
BOS,4/19/2021,1,666915,Bobby Dalbec,9,Y,1B
BOS,4/19/2021,1,543135,Nathan Eovaldi,SP,Y,
STL,4/19/2021,1,669242,Tommy Edman,1,N,
STL,4/19/2021,1,502671,Paul Goldschmidt,2,N,
STL,4/19/2021,1,571448,Nolan Arenado,3,N,
STL,4/19/2021,1,657557,Paul DeJong,4,N,
STL,4/19/2021,1,425877,Yadier Molina,5,N,
STL,4/19/2021,1,666185,Dylan Carlson,6,N,
STL,4/19/2021,1,621573,Austin Dean,7,N,
STL,4/19/2021,1,642211,Justin Williams,8,N,
STL,4/19/2021,1,656427,Jack Flaherty,SP,N,
WAS,4/19/2021,1,607208,Trea Turner,1,N,
WAS,4/19/2021,1,665742,Juan Soto,2,N,
WAS,4/19/2021,1,605137,Josh Bell,3,N,
WAS,4/19/2021,1,656941,Kyle Schwarber,4,N,
WAS,4/19/2021,1,516770,Starlin Castro,5,N,
WAS,4/19/2021,1,543228,Yan Gomes,6,N,
WAS,4/19/2021,1,645302,Victor Robles,7,N,
WAS,4/19/2021,1,543281,Josh Harrison,8,N,
WAS,4/19/2021,1,605452,Joe Ross,SP,N,
SF,4/19/2021,1,573262,Mike Yastrzemski,1,N,
SF,4/19/2021,1,600303,Tommy La Stella,2,N,
SF,4/19/2021,1,474832,Brandon Belt,3,N,
SF,4/19/2021,1,457763,Buster Posey,4,N,
SF,4/19/2021,1,543105,Alex Dickerson,5,N,
SF,4/19/2021,1,446334,Evan Longoria,6,N,
SF,4/19/2021,1,543063,Brandon Crawford,7,N,
SF,4/19/2021,1,643289,Mauricio Dubon,8,N,
SF,4/19/2021,1,592332,Kevin Gausman,SP,N,
PHI,4/19/2021,1,457705,Andrew McCutchen,1,N,
PHI,4/19/2021,1,656555,Rhys Hoskins,2,N,
PHI,4/19/2021,1,547180,Bryce Harper,3,N,
PHI,4/19/2021,1,592663,JT Realmuto,4,N,
PHI,4/19/2021,1,664761,Alec Bohm,5,N,
PHI,4/19/2021,1,544369,Didi Gregorius,6,N,
PHI,4/19/2021,1,516416,Jean Segura,7,N,
PHI,4/19/2021,1,596451,Roman Quinn,8,N,
PHI,4/19/2021,1,502624,Chase Anderson,SP,N,
TB,4/19/2021,1,650490,Yandy Diaz,1,N,
TB,4/19/2021,1,668227,Randy Arozarena,2,N,
TB,4/19/2021,1,670712,Mike Brosseau,3,N,
TB,4/19/2021,1,622534,Manuel Margot,4,N,
TB,4/19/2021,1,664040,Brandon Lowe,5,N,
TB,4/19/2021,1,642715,Willy Adames,6,N,
TB,4/19/2021,1,642336,Francisco Mejia,7,N,
TB,4/19/2021,1,656821,Kevin Padlo,8,N,
TB,4/19/2021,1,572287,Mike Zunino,9,N,
TB,4/19/2021,1,676596,Josh Fleming,SP,N,
KC,4/19/2021,1,593160,Whit Merrifield,1,N,
KC,4/19/2021,1,521692,Salvador Perez,2,N,
KC,4/19/2021,1,624585,Jorge Soler,3,N,
KC,4/19/2021,1,467793,Carlos Santana,4,N,
KC,4/19/2021,1,643217,Andrew Benintendi,5,N,
KC,4/19/2021,1,641531,Hunter Dozier,6,N,
KC,4/19/2021,1,572191,Michael Taylor,7,N,
KC,4/19/2021,1,593643,Hanser Alberto,8,N,
KC,4/19/2021,1,670032,Nicky Lopez,9,N,
KC,4/19/2021,1,518633,Danny Duffy,SP,N,
TEX,4/19/2021,1,643396,Isiah Kiner-Falefa,1,N,
TEX,4/19/2021,1,621311,David Dahl,2,N,
TEX,4/19/2021,1,608336,Joey Gallo,3,N,
TEX,4/19/2021,1,669256,Nick Solak,4,N,
TEX,4/19/2021,1,663993,Nathaniel Lowe,5,N,
TEX,4/19/2021,1,660731,Anderson Tejeda,6,N,
TEX,4/19/2021,1,642201,Eli White,7,N,
TEX,4/19/2021,1,665750,Leody Taveras,8,N,
TEX,4/19/2021,1,624431,Jose Trevino,9,N,
TEX,4/19/2021,1,685503,Kohei Arihara,SP,N,
LAA,4/19/2021,1,664058,David Fletcher,1,N,
LAA,4/19/2021,1,660271,Shohei (H) Ohtani,2,N,
LAA,4/19/2021,1,545361,Mike Trout,3,N,
LAA,4/19/2021,1,665120,Jared Walsh,4,N,
LAA,4/19/2021,1,457708,Justin Upton,5,N,
LAA,4/19/2021,1,670351,Jose Rojas,6,N,
LAA,4/19/2021,1,405395,Albert Pujols,7,N,
LAA,4/19/2021,1,578428,Jose Iglesias,8,N,
LAA,4/19/2021,1,621532,Anthony Bemboom,9,N,
LAA,4/19/2021,1,605164,Dylan Bundy,SP,N,
LAD,4/19/2021,1,605141,Mookie Betts,1,N,
LAD,4/19/2021,1,608369,Corey Seager,2,N,
LAD,4/19/2021,1,457759,Justin Turner,3,N,
LAD,4/19/2021,1,669257,Will Smith,4,N,
LAD,4/19/2021,1,621035,Chris Taylor,5,N,
LAD,4/19/2021,1,571970,Max Muncy,6,N,
LAD,4/19/2021,1,572041,AJ Pollock,7,N,
LAD,4/19/2021,1,641914,Sheldon Neuse,8,N,
LAD,4/19/2021,1,641914,Sheldon Neuse,9,N,
LAD,4/19/2021,1,669160,Dustin May,SP,N,
SEA,4/19/2021,1,571745,Mitch Haniger,1,N,
SEA,4/19/2021,1,664034,Ty France,2,N,
SEA,4/19/2021,1,572122,Kyle Seager,3,N,
SEA,4/19/2021,1,657108,Evan White,4,N,
SEA,4/19/2021,1,666211,Taylor Trammell,5,N,
SEA,4/19/2021,1,664238,Dylan Moore,6,N,
SEA,4/19/2021,1,664059,Sam Haggerty,7,N,
SEA,4/19/2021,1,608596,Tom Murphy,8,N,
SEA,4/19/2021,1,641487,J.P. Crawford,9,N,
SEA,4/19/2021,1,656954,Justus Sheffield,SP,N,
MIL,4/19/2021,1,598265,Jackie Bradley,1,N,
MIL,4/19/2021,1,669374,Keston Hiura,2,N,
MIL,4/19/2021,1,543768,Travis Shaw,3,N,
MIL,4/19/2021,1,541645,Avisail Garcia,4,N,
MIL,4/19/2021,1,553882,Omar Narvaez,5,N,
MIL,4/19/2021,1,641856,Billy McKinney,6,N,
MIL,4/19/2021,1,649966,Luis Urias,7,N,
MIL,4/19/2021,1,607054,Jace Peterson,8,N,
