DraftKings,BaseballMonster,BaseballReference,FanGraphs,MissingHyphen
Shohei Ohtani,Shohei (H) Ohtani,Shohei Ohtani
Shohei Ohtani,Shohei (P) Ohtani,Shohei Ohtani
Michael A. Taylor,Michael Taylor
Jackie Bradley Jr.,Jackie Bradley
J.T. Realmuto,JT Realmuto
Fernando Tatis Jr.,Fernando Tatis
Tommy Pham,Thomas Pham
Gio Urshela,Giovanny Urshela
JT Brubaker,J.T. Brubaker
Kwang Hyun Kim,Kwang-Hyun Kim
Vince Velasquez,Vincent Velasquez
Nate Lowe,Nathaniel Lowe
Jose Abreu,Jose Abreu,José Abreu
Andrew Young,Andy Young
Ronald Acuna Jr.,Ronald Acuna
Jazz Chisholm Jr.,Jazz Chisholm,Jazz Chisholm
Jon Berti,Jonathon Berti
Adolis Garcia,,Adolis García
Vladimir Guerrero Jr.,Vladimir Guerrero,Vladimir Guerrero Jr.
Josh Palacios,Joshua Palacios,Josh Palacios
Yandy Diaz,,Yandy Díaz
Joey Wendle,Joseph Wendle,Joey Wendle
Jake Marisnick,Jacob Marisnick,Jake Marisnick
Jose Iglesias,Jose Iglesias,José Iglesias
Aledmys Diaz,,Aledmys Díaz
Yuli Gurriel,Yulieski Gurriel,Yuli Gurriel
Pete Alonso,Peter Alonso,Pete Alonso,Pete Alonso
Lourdes Gurriel Jr.,Lourdes Gurriel,Lourdes Gurriel Jr.,Lourdes Gurriel Jr.
Pat Valaika,Patrick Valaika,Pat Valaika,Pat Valaika
DJ Stewart,DJ Stewart,DJ Stewart,D.J. Stewart
Yu Chang,Yu-Cheng Chang,Yu Chang,Yu-Cheng Chang
Matt Joyce,Matt Joyce,Matthew Joyce,Matt Joyce
Yadiel Hernandez,Yadiel Hernandez,Yadiel Hernández,Yadiel Hernandez
Nick Castellanos,Nick Castellanos,Nicholas Castellanos,Nick Castellanos
Yordan Alvarez,Yordan Alvarez,Yordan Álvarez,Yordan Alvarez
Isiah Kiner-Falefa,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Isiah Kiner Falefa
Ha-Seong Kim,Ha-seong Kim,Ha-Seong Kim,Ha-seong Kim
Kike Hernandez,Kike Hernandez,Enrique Hernandez,Enrique Hernandez
Cedric Mullins,Cedric Mullins,Cedric Mullins,Cedric Mullins II
AJ Pollock,AJ Pollock,AJ Pollock,A.J. Pollock
Lance McCullers Jr.,Lance McCullers,Lance McCullers Jr.
Hyun Jin Ryu,Hyun-Jin Ryu,Hyun Jin Ryu,Hyun-Jin Ryu,Hyun Jin Ryu
Ji-Man Choi,Ji-Man Choi,Ji-Man Choi,Ji-Man Choi,Ji Man Choi
Stevie Wilkerson,Steve Wilkerson,,Stevie Wilkerson
Andrew Young,Andy Young,Andrew Young,Andy Young
Yoshi Tsutsugo,Yoshitomo Tsutsugo,Yoshi Tsutsugo,Yoshi Tsutsugo
