,team,Name, b/o,TmAbb,APPG,G,H,2B,3B,HR,BB,R,RBI,HBP,SB,pj_pts,Opp,vSP,h_fac,hr_fac,r_fac,bb_fac,pj_vP
0,BAL,Cedric Mullins,1,BAL,7.67,19,2.37,2.11,0.0,0.53,0.74,0.84,0.42,0.0,0.53,7.53,OAK,Chris Bassitt,1.07,0.67,0.98,1.15,7.76
1,BAL,DJ Stewart,2,BAL,6.3,11,1.64,0.91,0.0,0.91,1.09,1.09,0.91,0.0,0.0,6.55,OAK,Chris Bassitt,1.07,0.67,0.98,1.15,6.55
2,BAL,Maikel Franco,3,BAL,7.56,19,1.74,1.32,0.0,1.05,0.84,0.63,1.58,0.0,0.0,7.16,OAK,Chris Bassitt,1.07,0.67,0.98,1.15,7.11
3,BAL,Trey Mancini,4,BAL,7.5,19,1.26,0.79,0.0,2.11,0.53,1.05,1.26,0.11,0.0,7.11,OAK,Chris Bassitt,1.07,0.67,0.98,1.15,6.59
4,BAL,Ryan Mountcastle,5,BAL,4.78,19,1.11,1.05,0.0,0.53,0.32,0.63,0.74,0.0,0.53,4.89,OAK,Chris Bassitt,1.07,0.67,0.98,1.15,4.91
5,BAL,Rio Ruiz,6,BAL,5.27,16,0.75,0.62,0.0,1.25,0.62,0.88,0.62,0.0,0.62,5.38,OAK,Chris Bassitt,1.07,0.67,0.98,1.15,5.11
6,BAL,Ryan McKenna,7,BAL,1.91,12,0.25,0.0,0.67,0.0,0.17,0.67,0.0,0.0,0.0,1.75,OAK,Chris Bassitt,1.07,0.67,0.98,1.15,1.84
7,BAL,Pedro Severino,8,BAL,4.54,14,2.14,0.36,0.0,0.71,0.29,0.43,0.29,0.0,0.0,4.21,OAK,Chris Bassitt,1.07,0.67,0.98,1.15,4.19
8,BAL,Freddy Galvis,9,BAL,6.78,19,1.42,1.05,0.42,1.05,0.63,1.05,0.53,0.0,0.26,6.42,OAK,Chris Bassitt,1.07,0.67,0.98,1.15,6.33
9,ARI,Wyatt Mathisen,1,ARI,2.75,16,0.75,0.0,0.0,0.0,0.62,0.25,0.75,0.38,0.0,2.75,ATL,Drew Smyly,0.72,2.02,1.61,0.23,2.67
10,ARI,Kole Calhoun,2,ARI,6.0,11,1.91,1.36,0.0,0.91,0.36,0.73,0.73,0.0,0.0,6.0,ATL,Drew Smyly,0.72,2.02,1.61,0.23,6.63
11,ARI,Eduardo Escobar,3,ARI,9.26,19,1.11,1.05,0.0,3.16,0.95,1.47,1.26,0.0,0.26,9.26,ATL,Drew Smyly,0.72,2.02,1.61,0.23,12.81
12,ARI,Asdrubal Cabrera,4,ARI,7.06,18,1.33,0.83,0.0,1.11,1.44,1.22,1.11,0.0,0.0,7.06,ATL,Drew Smyly,0.72,2.02,1.61,0.23,7.88
13,ARI,Nick Ahmed,5,ARI,2.17,12,0.75,0.0,0.0,0.0,0.33,0.33,0.33,0.0,0.42,2.17,ATL,Drew Smyly,0.72,2.02,1.61,0.23,2.1
14,ARI,Carson Kelly,6,ARI,10.33,15,1.4,0.67,0.0,3.33,1.73,1.2,1.6,0.4,0.0,10.33,ATL,Drew Smyly,0.72,2.02,1.61,0.23,13.52
15,ARI,Josh Rojas,7,ARI,3.94,18,0.83,0.28,0.0,0.56,1.0,0.67,0.33,0.0,0.28,3.94,ATL,Drew Smyly,0.72,2.02,1.61,0.23,4.05
16,ARI,Andrew Young,8,ARI,6.57,7,0.0,0.0,0.0,2.86,0.57,0.86,1.43,0.86,0.0,6.57,ATL,Drew Smyly,0.72,2.02,1.61,0.23,10.46
17,ARI,Madison Bumgarner,SP,ARI,5.56,5,0.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.8,ATL,Drew Smyly,0.72,2.02,1.61,0.23,1.46
18,ATL,Ronald Acuna Jr.,1,ATL,14.76,17,2.12,1.76,0.47,4.12,1.06,2.47,1.88,0.0,0.88,14.76,ARI,Madison Bumgarner,1.45,1.63,1.95,1.26,23.72
19,ATL,Freddie Freeman,2,ATL,8.42,19,1.11,0.53,0.0,2.63,1.68,1.05,1.05,0.11,0.26,8.42,ARI,Madison Bumgarner,1.45,1.63,1.95,1.26,13.25
20,ATL,Marcell Ozuna,3,ATL,5.63,19,2.05,0.0,0.0,0.53,1.26,0.63,1.05,0.11,0.0,5.63,ARI,Madison Bumgarner,1.45,1.63,1.95,1.26,8.81
21,ATL,Travis d'Arnaud,4,ATL,5.18,17,1.24,0.88,0.0,1.18,0.35,0.47,1.06,0.0,0.0,5.18,ARI,Madison Bumgarner,1.45,1.63,1.95,1.26,8.42
22,ATL,Ozzie Albies,5,ATL,6.94,17,0.53,1.47,0.0,1.76,0.82,1.06,1.06,0.24,0.0,6.94,ARI,Madison Bumgarner,1.45,1.63,1.95,1.26,11.18
23,ATL,Dansby Swanson,6,ATL,4.79,19,1.11,1.05,0.42,0.53,0.63,0.32,0.53,0.21,0.0,4.79,ARI,Madison Bumgarner,1.45,1.63,1.95,1.26,7.27
24,ATL,Austin Riley,7,ATL,5.68,19,1.89,0.0,0.0,1.05,0.84,1.05,0.42,0.42,0.0,5.68,ARI,Madison Bumgarner,1.45,1.63,1.95,1.26,8.8
25,ATL,Ehire Adrianza,8,ATL,5.64,14,0.64,0.71,0.57,1.43,0.29,0.86,1.14,0.0,0.0,5.64,ARI,Madison Bumgarner,1.45,1.63,1.95,1.26,9.38
26,ATL,Drew Smyly,SP,ATL,13.38,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,Madison Bumgarner,1.45,1.63,1.95,1.26,0.0
27,LAD,Will Smith,4,ATL,3.3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,Madison Bumgarner,1.45,1.63,1.95,1.26,0.0
28,LAD,Will Smith,4,ATL,3.3,14,0.64,1.43,0.0,1.43,1.43,1.29,0.57,0.43,0.0,7.21,ARI,Madison Bumgarner,1.45,1.63,1.95,1.26,11.19
29,PHI,Andrew McCutchen,1,PHI,5.59,17,1.24,0.0,0.47,0.59,1.41,0.59,0.71,0.0,0.59,5.59,COL,Antonio Senzatela,1.32,1.11,1.38,0.63,6.18
30,PHI,Rhys Hoskins,2,PHI,7.74,19,1.26,1.84,0.0,2.11,0.32,1.47,0.74,0.0,0.0,7.74,COL,Antonio Senzatela,1.32,1.11,1.38,0.63,9.69
31,PHI,Bryce Harper,3,PHI,9.72,18,2.17,0.83,0.0,2.22,1.67,1.56,0.89,0.11,0.28,9.72,COL,Antonio Senzatela,1.32,1.11,1.38,0.63,11.25
32,PHI,J.T. Realmuto,4,PHI,7.26,19,1.74,1.05,0.42,1.05,0.74,0.74,0.95,0.32,0.53,7.53,COL,Antonio Senzatela,1.32,1.11,1.38,0.63,9.05
33,PHI,Alec Bohm,5,PHI,6.53,19,1.89,0.53,0.0,1.05,0.63,0.74,1.16,0.0,0.53,6.53,COL,Antonio Senzatela,1.32,1.11,1.38,0.63,7.91
34,PHI,Didi Gregorius,6,PHI,6.44,16,2.44,0.31,0.0,1.25,0.25,0.38,1.38,0.12,0.31,6.44,COL,Antonio Senzatela,1.32,1.11,1.38,0.63,8.03
35,PHI,Jean Segura,7,PHI,6.47,17,2.65,1.18,0.0,0.59,0.35,0.82,0.59,0.0,0.29,6.47,COL,Antonio Senzatela,1.32,1.11,1.38,0.63,8.17
36,PHI,Roman Quinn,8,PHI,2.69,16,0.19,0.31,0.0,0.0,0.38,0.5,0.0,0.38,0.94,2.69,COL,Antonio Senzatela,1.32,1.11,1.38,0.63,2.91
37,PHI,Aaron Nola,SP,PHI,23.22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COL,Antonio Senzatela,1.32,1.11,1.38,0.63,0.0
38,COL,Raimel Tapia,1,COL,6.72,18,2.5,0.28,0.0,1.67,0.67,0.56,0.78,0.0,0.28,6.72,PHI,Aaron Nola,1.09,0.31,0.49,0.31,4.69
39,COL,Garrett Hampson,2,COL,9.18,17,1.94,1.18,0.0,1.18,0.71,1.76,0.94,0.0,1.47,9.18,PHI,Aaron Nola,1.09,0.31,0.49,0.31,6.78
40,COL,Trevor Story,3,COL,6.68,19,1.89,1.58,0.42,0.53,0.42,0.74,0.84,0.0,0.26,6.68,PHI,Aaron Nola,1.09,0.31,0.49,0.31,5.57
41,COL,Charlie Blackmon,4,COL,5.18,17,0.71,1.18,0.0,0.59,0.94,0.71,0.82,0.24,0.0,5.18,PHI,Aaron Nola,1.09,0.31,0.49,0.31,3.52
42,COL,C.J. Cron,5,COL,6.41,17,0.88,1.18,0.0,1.18,0.94,1.06,1.06,0.12,0.0,6.41,PHI,Aaron Nola,1.09,0.31,0.49,0.31,4.06
